CD_MUN,NOME_CLEAN,latitude,longitude
1600402,mazagaoAP,-0.06683662406777587,-51.9511933351033
1600501,oiapoqueAP,3.111807840169292,-51.89869074727469
1600535,porto grandeAP,0.5856284403030857,-51.66998321435297
1600550,pracuubaAP,1.6258149089198077,-51.27852951539576
1600600,santanaAP,0.12980646444140073,-51.37836544381693
1600709,tartarugalzinhoAP,1.2975771019738662,-50.992615555636185
1600808,vitoria do jariAP,-0.9964423224329968,-52.06117847479419
1700251,abreulandiaTO,-9.478807702153293,-49.311253146922084
1700301,aguiarnopolisTO,-6.488578774519731,-47.51337205459204
1700350,alianca do tocantinsTO,-11.331182681439921,-48.90829469244605
1700400,almasTO,-11.42950523430038,-47.21101897511941
1700707,alvoradaTO,-12.407495758166869,-49.11179392867557
1701002,ananasTO,-6.2326785342084765,-48.186638348591046
1701051,angicoTO,-6.435793948882709,-47.91316489019324
1701101,aparecida do rio negroTO,-9.986598001663888,-48.00004030569323
1701309,aragominasTO,-6.945523746672194,-48.63233014766392
1701903,araguacemaTO,-8.939098762799302,-49.505539985809236
1702000,araguacuTO,-12.839858469446364,-49.69635389133044
1702109,araguainaTO,-7.331298748626634,-48.58780157697001
1702158,araguanaTO,-6.790970407028426,-48.524540830993324
1702208,araguatinsTO,-5.6658405031637695,-48.104821796494676
1702307,arapoemaTO,-7.723417227018497,-48.99983005954322
1702406,arraiasTO,-12.817192627691439,-47.04777446350414
1702554,augustinopolisTO,-5.497817642692823,-47.92815452293681
1702703,aurora do tocantinsTO,-12.646636224733689,-46.43288116723269
1702901,axixa do tocantinsTO,-5.649398421114453,-47.7661086195837
1703008,babaculandiaTO,-7.174540673319123,-47.856837156958406
1703057,bandeirantes do tocantinsTO,-7.903014329410436,-48.67554442659528
1703073,barra do ouroTO,-7.717768856334563,-47.57860790348235
1703107,barrolandiaTO,-9.865780968719207,-48.791190081456264
1703206,bernardo sayaoTO,-7.9834752160858535,-48.969116751883
